feature,mean_importance
age,0.0
cons.price.idx,0.0
emp.var.rate,0.0
poutcome,0.0
previous,0.0
campaign,0.0
euribor3m,0.0
month,0.0
day_of_week,0.0
loan,0.0
housing,0.0
default,0.0
education,0.0
marital,0.0
job,0.0
contact,0.0
pdays,0.005846060859618746
cons.conf.idx,0.02492169310961707
nr.employed,0.13838722512164944
duration,0.14398997545202877
