feature,shap_importance
duration,0.07955463724860054
nr.employed,0.07468636585254809
cons.conf.idx,0.017483690099640712
pdays,0.010648926639403146
marital,0.0
education,0.0
euribor3m,0.0
cons.price.idx,0.0
emp.var.rate,0.0
poutcome,0.0
previous,0.0
campaign,0.0
job,0.0
day_of_week,0.0
month,0.0
contact,0.0
loan,0.0
housing,0.0
default,0.0
age,0.0
