name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.3520212669819698,4.18
2_DecisionTree,Decision Tree,logloss,0.22085796399305324,43.2
3_Default_Xgboost,Xgboost,logloss,0.1786192119736587,21.47
4_Default_NeuralNetwork,Neural Network,logloss,0.20301924381410896,21.62
5_Default_RandomForest,Random Forest,logloss,0.2023253824336812,20.53
Ensemble,Ensemble,logloss,0.17742827900837901,4.32
