feature,shap_importance
LSTAT,0.33002403
RM,0.27878746
CRIM,0.07685008
AGE,0.075100705
NOX,0.06290877
DIS,0.06225019
PTRATIO,0.039954014
TAX,0.033913188
B,0.017331557
RAD,0.015590003
INDUS,0.013941227
ZN,0.008808463
CHAS,0.0023012876
