feature,weight
intercept,-0.0129081170993945
CRIM,-0.10722466911985068
ZN,0.11059630465418369
INDUS,0.016769399997625167
CHAS,0.17425958084182705
NOX,-0.20729034598703777
RM,0.30212065349685346
AGE,-0.027193912280963004
DIS,-0.34410156374624634
RAD,0.31160144790721317
TAX,-0.2668346685417167
PTRATIO,-0.22790640864755912
B,0.11681119004053919
LSTAT,-0.3806619742659754
