feature,shap_importance
LSTAT,0.3087719118152058
DIS,0.28757418138189544
RAD,0.2869669914489067
TAX,0.23863407221147717
PTRATIO,0.18874324090648298
RM,0.1809924570148302
NOX,0.1688052846255486
ZN,0.07721864665525421
CRIM,0.0637712541204824
B,0.05477043984882187
AGE,0.02408371642624714
CHAS,0.020523906188037417
INDUS,0.015683713798601263
