feature,mean_importance
B,-0.004109547705759181
AGE,-0.001575360215269006
INDUS,0.0021821379737618552
CRIM,0.005517919408542754
CHAS,0.011678237907137984
ZN,0.021263233803638086
NOX,0.05903728706111777
PTRATIO,0.07354494208234238
RM,0.1131769364130564
TAX,0.11389732836091619
RAD,0.2395446535193681
LSTAT,0.24172042206878303
DIS,0.28385234039073676
