feature,shap_importance
duration,2.0190237
emp.var.rate,0.97839016
nr.employed,0.36618653
euribor3m,0.1942589
cons.conf.idx,0.1867502
age,0.108633466
campaign,0.10776937
month,0.10170985
cons.price.idx,0.08556744
pdays,0.07718029
day_of_week,0.06406881
contact,0.053984325
default,0.047297813
education,0.04613915
poutcome,0.033249643
marital,0.031149015
job,0.03087762
housing,0.02190142
previous,0.013423569
loan,0.012106899
