feature,shap_importance
LSTAT,3.7867913104159996
RM,3.6401736251764523
CRIM,0.8580639114431171
DIS,0.4326786168235096
RAD,0.25188771310993524
ZN,0.0
INDUS,0.0
CHAS,0.0
NOX,0.0
AGE,0.0
TAX,0.0
PTRATIO,0.0
B,0.0
